#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:hcv" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="bPopSizes.t:hcv" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="4" id="bGroupSizes.t:hcv" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:hcv" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:hcv">
#                    <taxonset id="TaxonSet.hcv" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:hcv" jeffreys="true" parameter="@bPopSizes.t:hcv" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:hcv" name="distribution">
#            <parameter id="gammaShape.s:hcv" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="RateACPrior.s:hcv" name="distribution">
#            <parameter id="rateAC.s:hcv" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:hcv" name="distribution">
#            <parameter id="rateAG.s:hcv" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:hcv" name="distribution">
#            <parameter id="rateAT.s:hcv" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:hcv" name="distribution">
#            <parameter id="rateCG.s:hcv" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:hcv" name="distribution">
#            <parameter id="rateGT.s:hcv" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.5" name="distr">
#                <parameter estimate="false" id="RealParameter.11" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.12" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@hcv" id="treeLikelihood.hcv" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:hcv">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:hcv" shape="@gammaShape.s:hcv" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:hcv" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:hcv" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:hcv" rateAC="@rateAC.s:hcv" rateAG="@rateAG.s:hcv" rateAT="@rateAT.s:hcv" rateCG="@rateCG.s:hcv" rateGT="@rateGT.s:hcv" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:hcv" lower="0.0" name="rateCT">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:hcv" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:hcv" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:hcv" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:hcv" name="clock.rate">7.9E-4</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	rateAC	rateAG	rateAT	rateCG	rateGT	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	gammaShape
0	-27171.029369044383	-26758.908543135625	-412.12082590875764	-26758.908543135625	3.810521648359549	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	-368.4554412603408	380.0	380.0	380.0	380.0	16	16	15	15	1.0
1000	-10922.985635015842	-10172.186454184379	-750.7991808314637	-10172.186454184379	518.0962027651127	0.25599842873708517	0.25703156410910777	0.23697000715380712	0.25	0.7211464572787042	1.6820528467263824	1.0	1.0	1.0	-707.0461778314299	1089.4828667564227	249.8758748039629	286.30548186961545	112.64891096985507	13	14	29	6	0.7250981129556655
2000	-9476.354568400206	-8902.641679026168	-573.7128893740376	-8902.641679026168	516.7579929330191	0.25599842873708517	0.25703156410910777	0.23697000715380712	0.25	0.7211464572787042	2.401064507436581	1.0	1.0	1.0	-522.7795894097783	7140.965021306963	1869.4153300555722	1440.5223009639178	221.9491973871126	7	12	39	4	0.7250981129556655
3000	-8811.784419627325	-8248.184080037161	-563.6003395901653	-8248.184080037161	465.6967566032465	0.25599842873708517	0.25703156410910777	0.23697000715380712	0.25	0.7211464572787042	3.1370920663422854	1.0	1.0	1.0	-510.84563258878933	17745.767541259815	2412.4065958375963	1088.306361586813	364.3014550495571	6	14	35	7	0.7250981129556655
4000	-8284.024349960728	-7724.379932440057	-559.6444175206711	-7724.379932440057	394.2998400266614	0.2428258086053037	0.2549216485686919	0.23637320415115734	0.26587933867484703	1.0	2.867226467529708	1.0	0.9699370547568602	1.0027552140775715	-506.7939042822964	10379.736189441262	3591.2871747500094	1178.444603576233	534.2135725478336	6	3	36	17	1.0
5000	-8042.008120021978	-7509.994818979916	-532.0133010420625	-7509.994818979916	386.8944413808487	0.2577755994562759	0.25703156410910777	0.2351928364346164	0.25	0.648234564656149	2.5312036735851877	1.0	0.580767094244063	0.9731423295646155	-481.8055452633099	17450.987609164706	1415.455781486256	499.14902074792036	108.15700718874207	7	19	34	2	0.7250981129556655
6000	-7687.241012595914	-7148.249332721277	-538.9916798746373	-7148.249332721277	411.84734714972836	0.24005021015645445	0.2576972470175412	0.23637320415115734	0.26587933867484703	0.7520534444109048	2.867226467529708	0.5490221515914095	0.9699370547568602	1.0027552140775715	-489.51797728181907	6936.2583287384605	1608.254093087111	791.041802457726	342.96023413353225	7	10	24	21	0.5117355980358518
7000	-7561.946999227105	-7044.825444198194	-517.1215550289104	-7044.825444198194	397.14703180265263	0.2584204722661706	0.26431665591456144	0.23454796362472166	0.24271490819454633	0.5921627084103916	2.5312036735851877	0.6399376512441051	0.5498343002377378	0.9731423295646155	-469.5259796449696	8048.087776529508	1368.833084955598	318.87540933250705	183.7158714441169	6	20	32	4	0.42041642440392785
8000	-7450.197871756941	-6931.285622742194	-518.9122490147467	-6931.285622742194	435.1172485390711	0.2584204722661706	0.26431665591456144	0.23454796362472166	0.24271490819454633	0.5921627084103916	2.5312036735851877	0.6399376512441051	0.5498343002377378	0.8704642164685455	-470.219400999174	20097.601066656265	960.5960246495073	217.6757891490924	179.33482707035847	8	20	33	1	0.42041642440392785
9000	-7356.474800852391	-6833.904918367696	-522.5698824846953	-6833.904918367696	401.25843014944815	0.2524246388755977	0.27031248930513435	0.2302023361349836	0.2470605356842844	0.5921627084103916	2.5312036735851877	0.41086986604812475	0.5498343002377378	0.8704642164685455	-471.7975830304376	18027.55237271134	1826.3563435929198	214.74652222620392	642.3267487128046	8	21	27	6	0.42041642440392785
10000	-7257.374349252047	-6736.401991905612	-520.9723573464349	-6736.401991905612	446.47701227068274	0.2524246388755977	0.27031248930513435	0.2302023361349836	0.2470605356842844	0.4896886231668972	2.5312036735851877	0.41086986604812475	0.5498343002377378	0.8704642164685455	-470.9331701226143	12430.079954671473	1585.1278311208316	216.38236336529778	710.0006848842122	12	16	30	4	0.42041642440392785
11000	-7222.652734283713	-6712.421040102801	-510.2316941809114	-6712.421040102801	356.7690742217627	0.2524246388755977	0.27031248930513435	0.2302023361349836	0.2470605356842844	0.4896886231668972	2.5312036735851877	0.395127314179691	0.5498343002377378	0.8704642164685455	-462.8888217520973	9280.33422365933	1731.9692391469048	250.60477655395206	226.88146119343958	7	18	33	4	0.42041642440392785
12000	-7092.383962540727	-6601.615310558833	-490.76865198189415	-6601.615310558833	344.4686277577892	0.2524246388755977	0.27031248930513435	0.2302023361349836	0.2470605356842844	0.20786473075233358	2.5312036735851877	0.36738903033496445	0.49852753436425745	0.573760048775056	-445.912106386279	9358.422779904422	1299.2048212892043	215.5911729620343	65.70813756003851	6	18	36	2	0.42041642440392785
